"RETAILER","VOLUME","DISP","PRICE"
"BOSTON - STOP & SHOP",2137,0,2.559195
"SAN FRANCISCO - LUCKY",6211,0.039,3.442763
"TAMPA/ST. PETE - KASH N KARRY",3215,0,2.910731
"TAMPA/ST. PETE - PUBLIX",4220,0,3.013033
"TAMPA/ST. PETE - WINN DIXIE",3221,0,2.879851
"DENVER - KING SOOPERS INC",3034,0,3.605471
"PHILADELPHIA - ACME MARKET",2639,0.037378392,3.62069
"ATLANTA - KROGER CO",4651,0,2.968394
"ATLANTA - WINN DIXIE",1750,0,2.639429
"CINCINNATI - KROGER CO",5091,0,2.653506
"INDIANAPOLIS - KROGER CO",3524,0.04688961,2.662883
"OKLAHOMA CITY - HOMELAND",1993,0.104471047,2.844957
"SACRAMENTO - RALEYS",1302,0.087,3.777266
"SAN DIEGO - LUCKY",7602,0.3895,2.698237
"SAN DIEGO - RALPHS",1759,0.062805556,3.719159
"SALT LAKE CITY - SMITHS FOOD",1295,0.066,2.654054
"PHOENIX - SAFEWAY",1224,0,3.320261
"PHOENIX - FRY'S FOOD STORE",5132,0,2.653546
"PHOENIX - SMITHS FOOD",959,0,3.18561
"MIAMI - PUBLIX",8736,0.043302413,2.726992
"MIAMI - WINN DIXIE",7058,0.114106656,2.534996
"NASHVILLE - KROGER CO",2439,0.18,2.832718
"RALEIGH/GREENSBORO - WINN DIXIE",2120,0.014781171,2.569811
"RALEIGH/GREENSBORO - FOOD LION",5289,0.014832796,2.668179
"ALBANY,NY - PRICE CHOPPER",695,0,3.053237
"BALTI/WASH - GIANT FOOD INC",4031,0,3.789134
"BALTI/WASH - SAFEWAY",5272,0,3.319803
"BALTI/WASH - SUPER FRESH",1516,0,3.449208
"MILWAUKEE - KOHLS FOOD STORE",1628,0,3.074939
"NEW ORLEANS - WINN DIXIE",5515,0,2.355576
"BUFFALO/ROCHESTER - TOPS MARKETS",1990,0,3.242211
"BUFFALO/ROCHESTER - WEGMANS",2009,0.153333333,3.263813
"CHARLOTTE - BI LO",1233,0,2.333333
"CHARLOTTE - HARRIS TEETER",1712,0,2.703855
"CHARLOTTE - WINN DIXIE",2120,0.044393064,2.333019
"CHARLOTTE - FOOD LION",4555,0.061386503,2.655543
"HARTFORD - STOP & SHOP",1357,0,3.379514
"JACKSONVILLE,FL - PUBLIX",1293,0,2.996906
"JACKSONVILLE,FL - WINN DIXIE",2114,0,2.700568
"JACKSONVILLE,FL - FOOD LION",1574,0.107448916,2.6169
"LOUISVILLE - KROGER CO",3242,0.079455842,2.675509
"LOUISVILLE - WINN DIXIE",1645,0.462,2.600608
"RICHMOND/NORFOLK - FOOD LION",5578,0,2.790068
"RICHMOND/NORFOLK - NEW FARM FRESH",2346,0,2.536232
"COLUMBUS,OH - BIG BEAR",1111,0,3.320432
"COLUMBUS,OH - KROGER CO",11942,0.082167991,1.71998
"LITTLE ROCK - HARVEST FOODS",1583,0.021015373,2.970941
"WICHITA - DILLON COMPANIES",1311,0,3.134249
"SOUTH CAROLINA - BI LO",6176,0.104,2.333387
"SOUTH CAROLINA - FOOD LION",2255,0,2.614191
"SOUTH CAROLINA - WINN DIXIE",2196,0,2.386612
"ORLANDO,FL - PUBLIX",3553,0,3.029271
"ORLANDO,FL - WINN DIXIE",3605,0,2.404993
"ORLANDO,FL - FOOD LION",1238,0.172251076,2.596931
"SYRACUSE - P & C FOOD MARKE",562,0,3.298932
"SYRACUSE - PRICE CHOPPER",474,0.0525,2.871308
"SYRACUSE - WEGMANS",601,0.124,3.472546
"NEW ENGLAND (NORTH) - SHOP N SAVE",2941,0,2.386263
"SAN ANT/CORPUS CHR - H E BUTT",10613,0.108,3.186752
"BIRMINGHAM/MONTGOM - BRUNOS",12952,0.091893617,2.131949
"BIRMINGHAM/MONTGOM - KROGER",1728,0.152,2.652778
"BIRMINGHAM/MONTGOM - WINN DIXIE",2807,0.098954704,2.695761
"HARRISBURG/SCRANTN - GIANT FOOD STO",1495,0.15,2.573913
"NEW YORK (NEW) - A & P",3529,0,4.399547
"NEW YORK (NEW) - PATHMARK",2626,0,4.387281
"NEW YORK (NEW) - WALDBAUMS",1577,0,4.499683
"ROANOKE (NEW) - FOOD LION",2874,0,2.720946
"ROANOKE (NEW) - KROGER CO",4336,0.02483878,2.700876
"LOS ANGELES - LUCKY",15740,0.1675,2.602414
"LOS ANGELES - RALPHS",6665,0.061369128,3.72003
"LOS ANGELES - VONS",8021,0.055,3.742301
"CHICAGO - DOMINICK",5151,0.006174204,3.293924
"CHICAGO - JEWEL",13934,0,3.230946
"CHICAGO - OMNI",3161,0,2.737109
"HOUSTON - KROGER CO",8010,0.149143064,2.44432
"HOUSTON - RANDALLS",3608,0,3.679324
"PITTSBURGH - GIANT EAGLE",4432,0.158441558,2.519856
"DETROIT - FARMER JACKS",4599,0.073609254,3.180474
"DETROIT - KROGER CO",3945,0,2.745247
"CLEVELAND - STOP N SHOP",3789,0.007218984,3.026392
"ST. LOUIS - NATIONAL SUPER",1653,0.154,3.681186
"ST. LOUIS - SCHNUCK MARKETS",3822,0.004656927,3.043433
"DALLAS/FT. WORTH - ALBERTSONS",3489,0,3.186873
"DALLAS/FT. WORTH - KROGER CO",3082,0,2.919857
"DALLAS/FT. WORTH - TOM THUMB",3524,0.084,3.053065
"BOSTON - SHAWS",3094,0,2.386555
"BOSTON - STAR MARKET",671,0,3.09389
"BOSTON - STOP & SHOP",1926,0,2.576843
"SAN FRANCISCO - LUCKY",5532,0.037151689,3.412871
"TAMPA/ST. PETE - KASH N KARRY",3489,0,3.060476
"TAMPA/ST. PETE - PUBLIX",4484,0.005894737,2.991971
"TAMPA/ST. PETE - WINN DIXIE",4976,0,2.778738
"DENVER - KING SOOPERS INC",3692,0,3.510022
"PHILADELPHIA - ACME MARKET",8319,0.132,2.386825
"ATLANTA - KROGER CO",4090,0.030872226,2.944254
"ATLANTA - WINN DIXIE",2286,0.212,2.639545
"CINCINNATI - KROGER CO",5545,0,2.653201
"INDIANAPOLIS - KROGER CO",3378,0.070888412,2.678508
"OKLAHOMA CITY - HOMELAND",1598,0.048954164,2.767209
"SACRAMENTO - RALEYS",1551,0.2655,3.82334
"SAN DIEGO - LUCKY",6221,0.344,2.712426
"SAN DIEGO - RALPHS",2210,0.069054329,3.720362
"SALT LAKE CITY - SMITHS FOOD",858,0.172,3.987179
"PHOENIX - SAFEWAY",988,0,3.587045
"PHOENIX - FRY'S FOOD STORE",1949,0,3.585942
"PHOENIX - SMITHS FOOD",1045,0,3.185646
"MIAMI - PUBLIX",10354,0.013051643,2.730249
"MIAMI - WINN DIXIE",9003,0,2.538376
"NASHVILLE - KROGER CO",2413,0.181,2.807708
"RALEIGH/GREENSBORO - WINN DIXIE",2350,0.013873841,2.528085
"RALEIGH/GREENSBORO - FOOD LION",5195,0.02230117,2.687199
"ALBANY,NY - PRICE CHOPPER",661,0,3.049924
"BALTI/WASH - GIANT FOOD INC",4337,0,3.749596
"BALTI/WASH - SAFEWAY",3807,0,4.119779
"BALTI/WASH - SUPER FRESH",1034,0,3.823017
"MILWAUKEE - KOHLS FOOD STORE",2300,0,2.639565
"NEW ORLEANS - WINN DIXIE",5111,0,2.425944
"BUFFALO/ROCHESTER - TOPS MARKETS",40009,0.22,1.706641
"BUFFALO/ROCHESTER - WEGMANS",2262,0.153333333,3.275862
"CHARLOTTE - BI LO",1576,0,2.333122
"CHARLOTTE - HARRIS TEETER",1815,0,2.711846
"CHARLOTTE - WINN DIXIE",2185,0,2.334096
"CHARLOTTE - FOOD LION",4297,0.057522124,2.683267
"HARTFORD - STOP & SHOP",1373,0,3.362709
"JACKSONVILLE,FL - PUBLIX",1634,0,3.035496
"JACKSONVILLE,FL - WINN DIXIE",2410,0,2.699585
"JACKSONVILLE,FL - FOOD LION",1110,0.028716783,2.708108
"LOUISVILLE - KROGER CO",3120,0.088,2.680449
"LOUISVILLE - WINN DIXIE",2067,0.224,2.600387
"RICHMOND/NORFOLK - FOOD LION",6321,0.02211288,2.775194
"RICHMOND/NORFOLK - NEW FARM FRESH",2481,0,2.528416
"COLUMBUS,OH - BIG BEAR",5185,0.0515,2.029701
"COLUMBUS,OH - KROGER CO",4572,0.067689931,2.653106
"LITTLE ROCK - HARVEST FOODS",1634,0.020932262,2.979804
"WICHITA - DILLON COMPANIES",1283,0,3.134061
"SOUTH CAROLINA - BI LO",7223,0.116,2.333241
"SOUTH CAROLINA - FOOD LION",3519,0,2.591077
"SOUTH CAROLINA - WINN DIXIE",2985,0,2.3866
"ORLANDO,FL - PUBLIX",4357,0,2.980721
"ORLANDO,FL - WINN DIXIE",4620,0,2.391558
"ORLANDO,FL - FOOD LION",1052,0.119160486,2.658745
"SYRACUSE - P & C FOOD MARKE",1746,0,2.520619
"SYRACUSE - PRICE CHOPPER",513,0,2.82846
"SYRACUSE - WEGMANS",656,0.124,3.472561
"NEW ENGLAND (NORTH) - SHOP N SAVE",3408,0,2.387031
"SAN ANT/CORPUS CHR - H E BUTT",14907,0.108,3.186624
"BIRMINGHAM/MONTGOM - BRUNOS",10417,0.075271637,2.150139
"BIRMINGHAM/MONTGOM - KROGER",1416,0.152,2.653249
"BIRMINGHAM/MONTGOM - WINN DIXIE",4097,0.031531693,2.679033
"HARRISBURG/SCRANTN - GIANT FOOD STO",1194,0.15,3.122278
"NEW YORK (NEW) - A & P",3528,0,4.395692
"NEW YORK (NEW) - PATHMARK",3829,0.059309407,4.386524
"NEW YORK (NEW) - WALDBAUMS",1800,0,4.463889
"ROANOKE (NEW) - FOOD LION",2919,0.050029197,2.732443
"ROANOKE (NEW) - KROGER CO",3737,0.018296337,2.769869
"LOS ANGELES - LUCKY",12042,0.1605,3.132038
"LOS ANGELES - RALPHS",10311,0.475,3.053438
"LOS ANGELES - VONS",11213,0.055,3.235709
"CHICAGO - DOMINICK",5734,0.012364775,3.290896
"CHICAGO - JEWEL",48983,0.252193059,1.986648
"CHICAGO - OMNI",2948,0,2.736771
"HOUSTON - KROGER CO",13066,0.232333333,2.442829
"HOUSTON - RANDALLS",6917,0,2.813648
"PITTSBURGH - GIANT EAGLE",3455,0,3.235311
"DETROIT - FARMER JACKS",6554,0.065625,3.216509
"DETROIT - KROGER CO",3630,0,2.811295
"CLEVELAND - STOP N SHOP",4156,0,2.947305
"ST. LOUIS - NATIONAL SUPER",2208,0,3.725996
"ST. LOUIS - SCHNUCK MARKETS",7602,0.076,2.439095
"DALLAS/FT. WORTH - ALBERTSONS",3720,0,3.18629
"DALLAS/FT. WORTH - KROGER CO",3047,0,3.728585
"DALLAS/FT. WORTH - TOM THUMB",2775,0.0835,3.053694
"BOSTON - SHAWS",3234,0,2.468769
"BOSTON - STAR MARKET",916,0,3.117904
"BOSTON - STOP & SHOP",1889,0,2.605611
"SAN FRANCISCO - LUCKY",6654,0.082581668,3.408626
"TAMPA/ST. PETE - KASH N KARRY",4179,0,3.068437
"TAMPA/ST. PETE - PUBLIX",4249,0,3.028007
"TAMPA/ST. PETE - WINN DIXIE",5009,0.014415963,2.708525
"DENVER - KING SOOPERS INC",3327,0,3.761046
"PHILADELPHIA - ACME MARKET",3633,0.12,3.682356
"ATLANTA - KROGER CO",8076,0.025775249,2.379148
"ATLANTA - WINN DIXIE",2368,0.186,2.640203
"CINCINNATI - KROGER CO",6201,0,2.653282
"INDIANAPOLIS - KROGER CO",3882,0.037052811,2.66306
"OKLAHOMA CITY - HOMELAND",2278,0.182397988,2.519754
"SACRAMENTO - RALEYS",1506,0.087,3.839973
"SAN DIEGO - LUCKY",3507,0.2265,3.646992
"SAN DIEGO - RALPHS",2721,0.312,3.052922
"SALT LAKE CITY - SMITHS FOOD",711,0.067,3.974684
"PHOENIX - SAFEWAY",961,0,3.586889
"PHOENIX - FRY'S FOOD STORE",1833,0,3.719585
"PHOENIX - SMITHS FOOD",1254,0,3.637959
"MIAMI - PUBLIX",10104,0.00267718,2.746041
"MIAMI - WINN DIXIE",8750,0,2.542857
"NASHVILLE - KROGER CO",2810,0.185,2.828826
"RALEIGH/GREENSBORO - WINN DIXIE",2132,0.016652755,2.529081
"RALEIGH/GREENSBORO - FOOD LION",5678,0.020748954,2.683868
"ALBANY,NY - PRICE CHOPPER",789,0,3.051965
"BALTI/WASH - GIANT FOOD INC",4673,0,3.788145
"BALTI/WASH - SAFEWAY",3357,0,4.120643
"BALTI/WASH - SUPER FRESH",1435,0,3.794425
"MILWAUKEE - KOHLS FOOD STORE",2048,0,3.067383
"NEW ORLEANS - WINN DIXIE",5528,0,2.388929
"BUFFALO/ROCHESTER - TOPS MARKETS",3587,0.0695,3.278227
"BUFFALO/ROCHESTER - WEGMANS",2874,0.152666667,3.285317
"CHARLOTTE - BI LO",1464,0,2.333333
"CHARLOTTE - HARRIS TEETER",1660,0,2.708434
"CHARLOTTE - WINN DIXIE",2090,0,2.333014
"CHARLOTTE - FOOD LION",4905,0,2.696636
"HARTFORD - STOP & SHOP",1683,0,3.373737
"JACKSONVILLE,FL - PUBLIX",1261,0,3.016653
"JACKSONVILLE,FL - WINN DIXIE",3064,0,2.61782
"JACKSONVILLE,FL - FOOD LION",1458,0.092164336,2.713306
"LOUISVILLE - KROGER CO",3154,0.082183369,2.690869
"LOUISVILLE - WINN DIXIE",1689,0.462,2.600355
"RICHMOND/NORFOLK - FOOD LION",6548,0.022251085,2.809407
"RICHMOND/NORFOLK - NEW FARM FRESH",2904,0,2.546832
"COLUMBUS,OH - BIG BEAR",6122,0.0515,2.051127
"COLUMBUS,OH - KROGER CO",13588,0.111242356,1.999926
"LITTLE ROCK - HARVEST FOODS",1537,0.048608541,2.825634
"WICHITA - DILLON COMPANIES",1065,0,3.149296
"SOUTH CAROLINA - BI LO",6840,0.117,2.333333
"SOUTH CAROLINA - FOOD LION",3133,0,2.638685
"SOUTH CAROLINA - WINN DIXIE",561,0,2.388592
"ORLANDO,FL - PUBLIX",4212,0.008784603,3.019943
"ORLANDO,FL - WINN DIXIE",4271,0.029562801,2.493327
"ORLANDO,FL - FOOD LION",1157,0.034829535,2.681072
"SYRACUSE - P & C FOOD MARKE",1002,0,3.372255
"SYRACUSE - PRICE CHOPPER",611,0,2.949264
"SYRACUSE - WEGMANS",998,0.179,3.472946
"NEW ENGLAND (NORTH) - SHOP N SAVE",3682,0,2.386746
"SAN ANT/CORPUS CHR - H E BUTT",14344,0.138,3.959983
"BIRMINGHAM/MONTGOM - BRUNOS",11799,0.021748439,2.181795
"BIRMINGHAM/MONTGOM - KROGER",1618,0,2.653276
"BIRMINGHAM/MONTGOM - WINN DIXIE",4807,0.069235332,2.344082
"HARRISBURG/SCRANTN - GIANT FOOD STO",1768,0.15,2.653846
"NEW YORK (NEW) - A & P",3738,0,4.399946
"NEW YORK (NEW) - PATHMARK",53773,0.229937307,2.653358
"NEW YORK (NEW) - WALDBAUMS",2801,0,4.521242
"ROANOKE (NEW) - FOOD LION",3949,0.017084413,2.772601
"ROANOKE (NEW) - KROGER CO",4433,0.021215645,2.894879
"LOS ANGELES - LUCKY",11932,0.121,2.618337
"LOS ANGELES - RALPHS",8125,0.259,3.719385
"LOS ANGELES - VONS",10330,0,3.278703
"CHICAGO - DOMINICK",5695,0,3.293942
"CHICAGO - JEWEL",42550,0.073032597,3.038049
"CHICAGO - OMNI",3627,0,2.624207
"HOUSTON - KROGER CO",10467,0.179707857,2.436324
"HOUSTON - RANDALLS",2154,0,2.621634
"PITTSBURGH - GIANT EAGLE",7229,0.021471299,2.212063
"DETROIT - FARMER JACKS",3847,0,3.195477
"DETROIT - KROGER CO",4386,0,2.749202
"CLEVELAND - STOP N SHOP",3901,0,2.97616
"ST. LOUIS - NATIONAL SUPER",2148,0,3.721136
"ST. LOUIS - SCHNUCK MARKETS",7888,0.051802233,2.400228
"DALLAS/FT. WORTH - ALBERTSONS",3505,0,3.186591
"DALLAS/FT. WORTH - KROGER CO",2240,0.0675,3.733482
"DALLAS/FT. WORTH - TOM THUMB",3492,0,2.95189
"BOSTON - SHAWS",3553,0,2.471433
"BOSTON - STAR MARKET",824,0,3.120146
"BOSTON - STOP & SHOP",2492,0,2.600321
"SAN FRANCISCO - LUCKY",7095,0.082581668,3.421142
"TAMPA/ST. PETE - KASH N KARRY",4229,0,2.940648
"TAMPA/ST. PETE - PUBLIX",4881,0,2.897972
"TAMPA/ST. PETE - WINN DIXIE",5248,0.050034481,2.549924
"DENVER - KING SOOPERS INC",4313,0,3.524693
"PHILADELPHIA - ACME MARKET",3484,0.066,3.652698
"ATLANTA - KROGER CO",9017,0.066049075,2.408894
"ATLANTA - WINN DIXIE",2824,0.186,2.640581
"CINCINNATI - KROGER CO",5546,0,2.894338
"INDIANAPOLIS - KROGER CO",3517,0.076,2.653398
"OKLAHOMA CITY - HOMELAND",2486,0.237972545,2.477072
"SACRAMENTO - RALEYS",1643,0.174,3.853317
"SAN DIEGO - LUCKY",3775,0.065,2.743046
"SAN DIEGO - RALPHS",2047,0.311,3.71617
"SALT LAKE CITY - SMITHS FOOD",794,0.067,3.604534
"PHOENIX - SAFEWAY",1775,0.161,2.652394
"PHOENIX - FRY'S FOOD STORE",1702,0,3.720917
"PHOENIX - SMITHS FOOD",1278,0.191,3.71831
"MIAMI - PUBLIX",10883,0.01391355,2.578058
"MIAMI - WINN DIXIE",8938,0,2.525621
"NASHVILLE - KROGER CO",4272,0.185,2.11985
"RALEIGH/GREENSBORO - WINN DIXIE",3127,0.026030903,2.490246
"RALEIGH/GREENSBORO - FOOD LION",6111,0.026794931,2.59712
"ALBANY,NY - PRICE CHOPPER",1585,0,3.052997
"BALTI/WASH - GIANT FOOD INC",4842,0,3.797811
"BALTI/WASH - SAFEWAY",2693,0,4.119198
"BALTI/WASH - SUPER FRESH",1392,0,3.815374
"MILWAUKEE - KOHLS FOOD STORE",1469,0,3.071477
"NEW ORLEANS - WINN DIXIE",5180,0,2.376062
"BUFFALO/ROCHESTER - TOPS MARKETS",1920,0.0395,3.243229
"BUFFALO/ROCHESTER - WEGMANS",12063,0.284,2.678604
"CHARLOTTE - BI LO",1765,0,2.333144
"CHARLOTTE - HARRIS TEETER",1589,0,2.716174
"CHARLOTTE - WINN DIXIE",2921,0,2.33242
"CHARLOTTE - FOOD LION",5257,0.021666667,2.603766
"HARTFORD - STOP & SHOP",1583,0,3.393557
"JACKSONVILLE,FL - PUBLIX",1525,0.0484375,2.876721
"JACKSONVILLE,FL - WINN DIXIE",2827,0,2.531659
"JACKSONVILLE,FL - FOOD LION",1604,0.036164399,2.697631
"LOUISVILLE - KROGER CO",3734,0.074207056,2.681575
"LOUISVILLE - WINN DIXIE",1621,0.224,2.600247
"RICHMOND/NORFOLK - FOOD LION",6479,0.046302889,2.749498
"RICHMOND/NORFOLK - NEW FARM FRESH",2784,0,2.54023
"COLUMBUS,OH - BIG BEAR",1620,0.1365,3.217284
"COLUMBUS,OH - KROGER CO",5153,0.04699378,2.652824
"LITTLE ROCK - HARVEST FOODS",2872,0,2.637883
"WICHITA - DILLON COMPANIES",1262,0,2.9271
"SOUTH CAROLINA - BI LO",7217,0.117,2.33338
"SOUTH CAROLINA - FOOD LION",3920,0.050916269,2.592602
"SOUTH CAROLINA - WINN DIXIE",2814,0,2.386638
"ORLANDO,FL - PUBLIX",4670,0.023443089,2.923769
"ORLANDO,FL - WINN DIXIE",4338,0,2.631397
"ORLANDO,FL - FOOD LION",1109,0.09462201,2.659152
"SYRACUSE - P & C FOOD MARKE",688,0,3.3125
"SYRACUSE - PRICE CHOPPER",1220,0,3.098361
"SYRACUSE - WEGMANS",5177,0.533,2.663705
"NEW ENGLAND (NORTH) - SHOP N SAVE",4825,0,1.989016
"SAN ANT/CORPUS CHR - H E BUTT",11738,0.03,3.955018
"BIRMINGHAM/MONTGOM - BRUNOS",12663,0.107623199,2.148622
"BIRMINGHAM/MONTGOM - KROGER",2183,0,2.163078
"BIRMINGHAM/MONTGOM - WINN DIXIE",4853,0.061390164,2.308057
"HARRISBURG/SCRANTN - GIANT FOOD STO",1847,0.075,2.652951
"NEW YORK (NEW) - A & P",3936,0,4.400915
"NEW YORK (NEW) - PATHMARK",5037,0.02573627,4.355767
"NEW YORK (NEW) - WALDBAUMS",1800,0,4.472222
"ROANOKE (NEW) - FOOD LION",3475,0.027228621,2.762878
"ROANOKE (NEW) - KROGER CO",5923,0,2.453993
"LOS ANGELES - LUCKY",11561,0.121,3.474007
"LOS ANGELES - RALPHS",15394,0.571,2.653371
"LOS ANGELES - VONS",9828,0,3.2558
"CHICAGO - DOMINICK",103763,0.271000686,1.320008
"CHICAGO - JEWEL",20482,0.067607427,3.032956
"CHICAGO - OMNI",14803,0.832,2.239951
"HOUSTON - KROGER CO",8937,0.146332046,2.382119
"HOUSTON - RANDALLS",3092,0,3.237387
"PITTSBURGH - GIANT EAGLE",5548,0,2.211608
"DETROIT - FARMER JACKS",3090,0,3.329126
"DETROIT - KROGER CO",4574,0,2.686707
"CLEVELAND - STOP N SHOP",4535,0.034449284,2.792503
"ST. LOUIS - NATIONAL SUPER",2284,0,3.715412
"ST. LOUIS - SCHNUCK MARKETS",9796,0.059145314,2.389138
"DALLAS/FT. WORTH - ALBERTSONS",3171,0,3.186692
"DALLAS/FT. WORTH - KROGER CO",2158,0,3.729842
"DALLAS/FT. WORTH - TOM THUMB",2846,0,2.666901
